Office ID,MANUFACTURER,MANFACTURINGYEAR,Name,Lat,Lon,Substation_No,Serial_No,Voltage,Capacity,FUNCTIONAL_LOC
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,162085,29.89208644,40.23821654,162085,<Null>,<Null>,<Null>,4300-JSS-162085
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111731,30.11020272,40.15563993,111731,<Null>,<Null>,<Null>,4300-JSS-111731
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,162086,29.80549644,40.0957354,162086,<Null>,<Null>,<Null>,4300-JSS-162086
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,167336,29.87498425,40.05196752,167336,<Null>,<Null>,<Null>,4300-JSS-167336
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,118391,29.92827693,40.35453087,118391,<Null>,<Null>,<Null>,4300-JSS-118391
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,169277,29.80078123,39.99658866,169277,<Null>,<Null>,<Null>,4300-JSS-169277
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,123104,29.98703206,40.26071663,123104,<Null>,<Null>,<Null>,4300-JSS-123104
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,101165,29.97073162,40.19144781,101165,<Null>,<Null>,<Null>,4300-JSS-101165
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112629,29.98938261,40.1335136,112629,<Null>,<Null>,<Null>,4300-JSS-112629
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,109136,29.98381194,40.1906082,109136,<Null>,<Null>,<Null>,4300-JSS-109136
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111802,30.02355709,40.19283183,111802,<Null>,<Null>,<Null>,4300-JSS-111802
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181467,30.2723947,40.28125966,181467,<Null>,<Null>,<Null>,4300-JSS-181467
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192213,29.25021053,41.44229484,192213,<Null>,<Null>,<Null>,4300-JSS-192213
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,<Null>,29.98434605,40.02386687,<Null>,<Null>,<Null>,<Null>,Substation_No
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,114164,30.0111915,40.22744778,114164,<Null>,<Null>,<Null>,4300-JSS-114164
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,114163,30.00945757,40.22746862,114163,<Null>,<Null>,<Null>,4300-JSS-114163
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182637,30.11708739,40.38950604,182637,<Null>,<Null>,<Null>,4300-JSS-182637
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182636,30.11830954,40.38985738,182636,<Null>,<Null>,<Null>,4300-JSS-182636
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181439,30.20613393,40.2633356,181439,<Null>,<Null>,<Null>,4300-JSS-181439
