Office,التجهيز,Subscription,Breaker,consumption,x,y
3440,5009215352,33120242821,100,13969.23,37.98552,30.69496
3440,5007938046,33120194554,150,13837.75,38.22770482,30.43062834
3430,5009444505,33110462151,70,13835.72,37.7597,30.9896
3440,5001340337,33120036911,100,13835.15,38.194176,30.46882364
3410,5008354551,33010711011,200,13815.2,40.22905146,30.28070447
3410,5008540949,33010735504,150,13792.95,40.21536311,30.12852467
3420,5001326928,33060026846,200,13783.6,39.788,29.9259
3410,5001298939,33010625530,300,13705.2,40.2709858,29.8138039
3410,5008530490,33010735489,300,13701,40.1158,30.0473
3440,5009933383,3120266831,160,13700.98,38.08366881,30.62987722
3440,5001344391,33120119068,100,13683.86,38.23205674,30.4222439
3420,5001276575,33060031443,200,13677.6,38.9189,29.815
3420,5001313466,33060160208,100,13627.04,39.44589646,29.84117363
3440,5001370074,33120138555,200,13599.2,38.18717311,30.54229712
3420,5010773924,3060241558,100,13531.77,38.76734512,29.68232193
3410,5007947947,33010682204,60,13448.36,40.09703201,29.82412365
3440,5009215186,33120242661,160,13408.04,38.35769044,30.4485286
3440,5011043226,3120314939,100,13343.36,38.20913194,30.55262272
3410,5001296428,33010428002,400,13331.2,40.01630428,29.99638912
3410,5001846640,33010655083,160,13302.56,40.37549904,29.95474151
3440,5009624712,3120256826,150,13288.4,38.17845103,30.5186402
3440,5004154692,33120191811,100,13284.95,38.7135592,30.31802513
3430,5001418695,33110331561,160,13284.74,37.69078931,30.99259463
3410,5008174308,33010704642,100,13269.64,40.17797534,29.84364076
3440,5001336061,33120166200,200,13157.6,38.44921108,30.39566547
3440,5009612431,3120255711,125,13139.23,38.32992796,30.49344375
3420,5001330681,33060089686,300,13086,39.5876,29.8653
3440,5001857073,33120187999,160,12983.31,38.53243507,30.44289412
3410,5001307940,33010505003,100,12956.85,40.15136483,29.88324989
3420,5001333663,33060030016,400,12910.4,39.8254727,29.89471371
3440,5008223377,33120207741,50,12859.79,38.73105752,30.27682201
3410,5001302565,33010444481,150,12846.47,40.02914028,29.99548356
3410,5001259038,33010259115,150,12792.48,40.08198001,30.01715734
3410,5001306100,33010459751,200,12780.4,40.32598403,29.94038197
3440,5001374018,33120106471,100,12721.35,38.21896515,30.55344012
3420,5001303133,33060157697,150,12672.05,39.88772062,29.92664861
3420,5001313099,33060114223,160,12634.55,39.71400598,29.83169487
3430,5007987376,33110388189,150,12575.36,37.65946615,31.08751743
3440,5009599588,3120255776,200,12508.2,38.07228448,30.57248106
3440,5001415570,33120176959,160,12464.31,38.43308,30.39372
3440,5008597305,33120222265,150,12336.29,38.13038019,30.4505815
3420,5010493070,3060236674,400,12286.4,39.4467,29.8473
3440,5001335949,33120085569,200,12218.4,38.3130213,30.46720357
3440,5001381539,33120156811,200,12215.6,38.7139081,30.30905272
3430,5009891095,3110475678,70,12168.77,37.60592589,31.11209009
3440,5008558933,33120220986,100,12118.51,38.42318803,30.43912799
3410,5001332241,33010512723,100,12059.63,40.4547173,29.77947689
3440,5011621296,3120326063,200,12043.2,38.3579,30.4092
3420,5001286935,33060079705,150,12036.22,39.56466331,29.86188529
3410,5011400794,3011107360,70,12032.74,40.41934567,29.88127725
3410,5008074527,33010692069,200,12030.4,40.27566708,30.29702305
3420,5008926169,33060203468,100,12030.23,39.5688,29.8507
3430,5010942448,3110524781,100,12026.21,37.6422,31.0762
3410,5011004899,3011079309,150,11961.83,40.23475503,29.99041665
3410,5001305873,33010252455,100,11913.85,40.17235118,30.02767771
3430,5011319503,3110534509,70,11878.51,37.57881829,31.2055229
3420,5001299163,33060125951,300,11876.4,39.476709,29.94024528
